,Olivia,ZJY,LHR,ZHC,ZYC,Tianen,Best Features,Years making smartphones
Huawei,,4,5,4,3,5,"Camera, Operating System, Battery Life",14
Xiaomi,5,3,3,3,4,4,"Price to Performance, Battery Life",12
Vivo,,,,3.5,,,"Price to Performance, Battery Life, Fast Charge",12
Apple,4.5,4,4,4.5,3,4.5,"Camera, Operating System, Design",16
Samsung,3,4,,3.5,3,4,Design,14
Sony,,,,2.5,,,"Camera, Design",15
